"X","Y","N03_001","N03_002","N03_003","N03_004","N03_007"
139.031411202207,35.232266062688,"神奈川県",NA,"足柄下郡","箱根町","14382"
139.045395208044,35.4247822874907,"神奈川県",NA,"足柄上郡","山北町","14364"
139.070138530129,35.309906431543,"神奈川県",NA,NA,"南足柄市","14217"
139.079004178372,35.1602402816675,"神奈川県",NA,"足柄下郡","湯河原町","14384"
139.119552,35.345406,"神奈川県",NA,"足柄上郡","開成町","14366"
139.137551,35.259509,"神奈川県",NA,NA,"小田原市","14206"
139.130823791125,35.4071699022243,"神奈川県",NA,"足柄上郡","松田町","14363"
139.135956,35.177239,"神奈川県",NA,"足柄下郡","真鶴町","14383"
139.169353809258,35.3300251370442,"神奈川県",NA,"足柄上郡","大井町","14362"
139.203037541509,35.3901520891594,"神奈川県",NA,NA,"秦野市","14211"
139.219963,35.345208,"神奈川県",NA,"足柄上郡","中井町","14361"
139.228971312334,35.4870736534755,"神奈川県",NA,"愛甲郡","清川村","14402"
139.23948494568,35.5743029248503,"神奈川県",NA,"相模原市","相模原市","14150"
139.252656,35.298985,"神奈川県",NA,"中郡","二宮町","14342"
139.288707563903,35.3166772062216,"神奈川県",NA,"中郡","大磯町","14341"
139.292025914958,35.4101153381092,"神奈川県",NA,NA,"伊勢原市","14214"
139.299072912187,35.5288415749672,"神奈川県",NA,"愛甲郡","愛川町","14401"
139.320176906243,35.3509629003224,"神奈川県",NA,NA,"平塚市","14203"
139.327063605707,35.4651366979339,"神奈川県",NA,NA,"厚木市","14212"
139.38561509698,35.3755280972523,"神奈川県",NA,"高座郡","寒川町","14321"
139.389090,35.425057,"神奈川県",NA,NA,"海老名市","14215"
139.408164,35.330010,"神奈川県",NA,NA,"茅ヶ崎市","14207"
139.40923933294,35.4875263551829,"神奈川県",NA,NA,"座間市","14216"
139.430884743138,35.4449598668022,"神奈川県",NA,NA,"綾瀬市","14218"
139.456518715247,35.4737612707753,"神奈川県",NA,NA,"大和市","14213"
139.458859574459,35.3605172430043,"神奈川県",NA,NA,"藤沢市","14205"
139.480520444898,35.6042148806665,"神奈川県",NA,"川崎市","川崎市麻生区","14137"
139.537960559335,35.3299900119938,"神奈川県",NA,NA,"鎌倉市","14204"
139.550599530497,35.6225125899093,"神奈川県",NA,"川崎市","川崎市多摩区","14135"
139.597628,35.266340,"神奈川県",NA,"三浦郡","葉山町","14301"
139.604051,35.302213,"神奈川県",NA,NA,"逗子市","14208"
139.662384,35.241306,"神奈川県",NA,NA,"横須賀市","14201"
139.577366029812,35.4601585190838,"神奈川県",NA,"横浜市","横浜市","14100"
139.574390,35.590289,"神奈川県",NA,"川崎市","川崎市宮前区","14136"
139.642477,35.172317,"神奈川県",NA,NA,"三浦市","14210"
139.621324,35.606077,"神奈川県",NA,"川崎市","川崎市高津区","14134"
139.652911649538,35.5746757628874,"神奈川県",NA,"川崎市","川崎市中原区","14133"
139.680032615189,35.5451650078805,"神奈川県",NA,"川崎市","川崎市幸区","14132"
139.731734013529,35.5140765088199,"神奈川県",NA,"川崎市","川崎市川崎区","14131"
