"X","Y","N03_001","N03_002","N03_003","N03_004","N03_007"
139.488076167169,35.4688526595696,"神奈川県",NA,"横浜市","瀬谷区","14114"
139.499295743039,35.4206740429235,"神奈川県",NA,"横浜市","泉区","14116"
139.52402355109,35.5589560748836,"神奈川県",NA,"横浜市","青葉区","14117"
139.527489198379,35.4805188704267,"神奈川県",NA,"横浜市","旭区","14112"
139.531251742443,35.4032646584437,"神奈川県",NA,"横浜市","戸塚区","14110"
139.556933519614,35.3619226291168,"神奈川県",NA,"横浜市","栄区","14115"
139.577635083753,35.5401943468381,"神奈川県",NA,"横浜市","都筑区","14118"
139.578260158131,35.3851855896438,"神奈川県",NA,"横浜市","港南区","14111"
139.578293794365,35.465221826376,"神奈川県",NA,"横浜市","保土ケ谷区","14106"
139.621433,35.396333,"神奈川県",NA,"横浜市","磯子区","14107"
139.618014341942,35.4860578860664,"神奈川県",NA,"横浜市","神奈川区","14102"
139.618595977541,35.4548067535834,"神奈川県",NA,"横浜市","西区","14103"
139.622842311057,35.5280074887589,"神奈川県",NA,"横浜市","港北区","14109"
139.62294270082,35.349256014655,"神奈川県",NA,"横浜市","金沢区","14108"
139.667724,35.425698,"神奈川県",NA,"横浜市","中区","14104"
139.672493759456,35.516158,"神奈川県",NA,"横浜市","鶴見区","14101"
139.515835,35.516158,"神奈川県",NA,"横浜市","緑区","141115"
139.601417,35.427271,"神奈川県",NA,"横浜市","南区","141105"
